Production code,Title,Air date,Season,Number in season,Number in series,US viewers (million),Views,IMDB rating
5F21,The Wizard of Evergreen Terrace,1998-09-20,10.0,2,205,7.95,53216.0,8.2
AABF01,Treehouse of Horror IX,1998-10-25,10.0,4,207,8.5,83169.0,8.0
AABF05,Mayored to the Mob,1998-12-20,10.0,9,212,8.5,56762.0,8.2
AABF07,Wild Barts Can't Be Broken,1999-01-17,10.0,11,214,8.8,57693.0,7.7
AABF12,Make Room for Lisa,1999-02-28,10.0,16,219,7.6,53449.0,7.5
AABF15,Mom and Pop Art,1999-11-04,10.0,19,222,8.5,47851.0,7.6
AABF17,Monty Can't Buy Me Love,1999-02-05,10.0,21,224,7.26,44242.0,7.2
AABF20,Thirty Minutes over Tokyo,1999-05-16,10.0,23,226,8.0,55947.0,7.9
,Guess Who's Coming to Criticize Dinner?,1999-10-24,11.0,3,229,6.7,46141.0,7.5
AABF19,E-I-E-I-(Annoyed Grunt),1999-07-11,11.0,5,231,8.4,51431.0,7.6
BABF03,Eight Misbehavin',1999-11-21,11.0,7,233,9.2,40465.0,7.1
BABF08,The Mansion Family,2000-01-23,11.0,12,238,11.3,43949.0,7.3
BABF11,"Alone Again, Natura-diddily",2000-02-13,11.0,14,240,10.8,47392.0,7.9
BABF12,Pygmoelian,2000-02-27,11.0,16,242,9.4,52891.0,7.3
BABF16,Kill the Alligator and Run,2000-04-30,11.0,19,245,7.46,52176.0,6.6
BABF18,"It's a Mad, Mad, Mad, Mad Marge",2000-05-14,11.0,21,247,7.5,54146.0,7.3
BABF21,,2000-01-11,12.0,1,249,13.2,77719.0,7.6
BABF17,Insane Clown Poppy,2000-12-11,12.0,3,251,16.4,40443.0,7.1
CABF02,The Computer Wore Menace Shoes,2000-03-12,12.0,6,254,15.6,51100.0,7.7
CABF05,Pokey Mom,2001-01-14,12.0,10,258,15.0,51024.0,7.3
CABF10,Day of the Jackanapes,2001-02-18,12.0,13,261,15.4,49986.0,7.2
CABF09,"Hungry, Hungry Homer",2001-04-03,12.0,15,263,17.6,49811.0,7.4
CABF13,Simpson Safari,2001-01-04,12.0,17,265,13.3,49065.0,6.9
CABF16,Children of a Lesser Clod,2001-05-13,12.0,20,268,13.8,50070.0,7.3
CABF19,Treehouse of Horror XII,2001-06-11,13.0,1,270,13.0,77136.0,7.5
CABF20,Homer the Moe,2001-11-18,13.0,3,272,14.4,44651.0,7.2
CABF21,The Blunder Years,2001-09-12,13.0,5,274,12.9,45288.0,7.7
DABF04,Half-Decent Proposal,2002-10-02,13.0,10,279,13.2,42977.0,7.5
DABF07,The Lastest Gun in the West,2002-02-24,13.0,12,281,13.2,44787.0,6.5
DABF10,Blame It on Lisa,2002-03-31,13.0,15,284,11.1,50694.0,7.0
DABF12,Gump Roast,2002-04-21,13.0,17,286,12.3,46335.0,5.6
9F09,Homer's Triple Bypass,1992-12-17,4.0,11,70,23.6,57400.0,8.7
DABF20,Bart vs. Lisa vs. the Third Grade,2002-11-17,14.0,3,294,13.3,43130.0,7.0
EABF01,The Great Louse Detective,2002-12-15,14.0,6,297,15.5,48110.0,7.3
EABF03,The Dad Who Knew Too Little,2003-12-01,14.0,8,299,12.8,47170.0,7.3
EABF06,Pray Anything,2003-09-02,14.0,10,301,13.4,46336.0,6.8
